domain,support,avg_code,avg_text,tot,avg_tot
c,115,13302.243478260869,21465.295652173914,3998267.0,34767.53913043479
list,70,1769.9714285714283,2283.2,283722.0,4053.171428571428
ai,51,1176.3921568627452,1966.3333333333333,160279.0,3142.7254901960787
ui,68,851.7205882352941,1577.1323529411766,165162.0,2428.8529411764707
awesome,184,886.2934782608696,1115.0326086956522,368244.0,2001.326086956522
web,84,695.7142857142857,1088.928571428571,149910.0,1784.6428571428569
swift,123,723.4471544715448,925.829268292683,202861.0,1649.2764227642278
library,60,637.4666666666667,927.8333333333334,93918.0,1565.3000000000002
node,55,570.7272727272727,977.709090909091,85164.0,1548.4363636363637
go,186,502.4139784946237,844.9731182795699,250614.0,1347.3870967741937
git,68,474.7941176470589,790.4558823529412,86037.0,1265.25
api,92,459.75,728.0978260869565,109282.0,1187.8478260869565
vim,54,481.3518518518519,645.2407407407408,60836.0,1126.5925925925926
java,216,420.3518518518519,666.0879629629629,234671.0,1086.4398148148148
sql,74,371.47297297297297,628.6486486486486,74009.0,1000.1216216216217
awesome-list,175,434.7314285714286,556.5085714285714,173467.0,991.24
neural-network,57,376.5263157894737,607.719298245614,56102.0,984.2456140350878
framework,116,406.8793103448276,562.9310344827586,112498.0,969.8103448275863
objective-c,57,448.2631578947368,489.9824561403509,53480.0,938.2456140350878
testing,71,309.36619718309856,511.887323943662,58309.0,821.2535211267606
security,147,292.2108843537415,493.3877551020408,115483.0,785.5986394557823
neural-networks,53,290.60377358490564,462.4905660377359,39914.0,753.0943396226415
html,90,305.5888888888889,444.3333333333333,67493.0,749.9222222222222
css,139,268.0863309352518,424.6978417266187,96297.0,692.7841726618706
shell,61,290.75409836065575,384.88524590163934,41214.0,675.639344262295
cli,87,264.2988505747126,403.0574712643678,58060.0,667.3563218390805
json,73,264.3150684931507,359.1095890410959,45510.0,623.4246575342465
aws,52,232.46153846153845,388.25,32277.0,620.7115384615385
react-native,63,275.3174603174603,333.4920634920635,38355.0,608.8095238095239
ios,177,250.89265536723164,354.2542372881356,107111.0,605.1468926553672
react,233,226.96137339055795,366.5450643776824,138287.0,593.5064377682404
tutorial,71,242.1549295774648,333.4366197183099,40867.0,575.5915492957747
mobile,55,190.2,382.6727272727273,31508.0,572.8727272727273
nlp,80,202.625,362.0625,45175.0,564.6875
http,74,192.67567567567568,361.44594594594594,41005.0,554.1216216216217
angular,63,222.7619047619048,325.6507936507937,34550.0,548.4126984126984
macos,95,226.3894736842105,320.0105263157895,51908.0,546.4
natural-language-processing,88,210.9431818181818,326.1136363636364,47261.0,537.0568181818182
cpp,70,202.37142857142857,334.07142857142856,37551.0,536.4428571428571
database,113,208.1238938053097,317.3008849557522,59373.0,525.4247787610619
docker,149,188.81879194630872,317.8993288590604,75501.0,506.71812080536915
vue,77,161.32467532467533,325.64935064935065,37497.0,486.97402597402595
computer-vision,64,193.0,261.71875,29102.0,454.71875
devops,58,153.6551724137931,299.67241379310343,26293.0,453.3275862068965
redux,51,175.41176470588235,274.84313725490193,22963.0,450.2549019607843
artificial-intelligence,66,151.4090909090909,253.5757575757576,26729.0,404.9848484848485
data-science,122,165.68852459016392,235.8688524590164,48990.0,401.55737704918033
python3,56,159.44642857142858,239.6071428571429,22347.0,399.05357142857144
graphql,50,164.86,232.04,19845.0,396.9
machine-learning,324,143.34259259259258,226.19135802469137,119729.0,369.53395061728395
animation,63,157.14285714285714,203.14285714285717,22698.0,360.28571428571433
pytorch,119,118.97478991596638,234.0084033613445,42005.0,352.9831932773109
c-plus-plus,70,150.47142857142856,194.18571428571428,24126.0,344.65714285714284
ruby,141,138.70921985815602,202.4468085106383,48103.0,341.1560283687943
linux,152,116.125,224.06578947368425,51709.0,340.1907894736843
php,189,121.2169312169312,213.0952380952381,63185.0,334.3121693121693
nodejs,171,123.08187134502924,206.96491228070172,56438.0,330.046783625731
android,217,130.91244239631337,196.6036866359447,71071.0,327.51612903225805
deep-learning,284,119.39084507042251,202.612676056338,91449.0,322.0035211267605
python,655,119.49618320610686,191.2610687022901,203546.0,310.75725190839694
tensorflow,148,106.18243243243244,200.0675675675676,45325.0,306.25000000000006
javascript,581,115.8433734939759,183.61790017211703,173987.0,299.46127366609295
terminal,57,106.9298245614035,181.7719298245614,16456.0,288.70175438596493
markdown,53,94.58490566037736,189.622641509434,15063.0,284.2075471698114
electron,52,98.67307692307692,173.05769230769232,14130.0,271.7307692307692
monitoring,51,97.17647058823528,171.62745098039215,13709.0,268.8039215686274
mysql,65,102.24615384615385,155.27692307692308,16739.0,257.5230769230769
kubernetes,136,101.51470588235294,154.03676470588235,34755.0,255.5514705882353
open-source,50,100.04,150.4,12522.0,250.44
material-design,57,80.91228070175438,169.01754385964912,14246.0,249.9298245614035
rust,113,99.95575221238938,144.21238938053096,27591.0,244.16814159292034
laravel,104,85.28846153846153,157.1346153846154,25212.0,242.4230769230769
golang,153,88.50980392156863,151.15032679738562,36668.0,239.66013071895424
windows,92,84.8695652173913,149.58695652173913,21570.0,234.45652173913044
hacktoberfest,530,81.67358490566038,144.83962264150944,120052.0,226.51320754716983
typescript,174,75.24712643678161,135.07471264367817,36596.0,210.32183908045977
compiler,59,65.22033898305085,131.3728813559322,11599.0,196.59322033898306
cross-platform,65,78.92307692307692,115.3076923076923,12625.0,194.23076923076923
postgresql,67,69.46268656716418,122.92537313432835,12890.0,192.38805970149252
Missing,2215,39.07088036117381,63.37336343115124,226914.0,102.44424379232505
